X0,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15
1,1.95284,1.373113,2.08317,1.228595,2.16559,1.43751,2.46998,2.12562,1.42193,2.46116,1.186374,1.071035,1.173255,1.97670,1.34007,1.316085
2,1.69327,1.370926,1.83857,1.044271,1.78036,1.50400,2.14601,1.93106,1.19573,1.90653,1.002763,1.057272,1.422905,1.97016,1.34497,1.192669
3,1.60246,1.235555,1.66795,1.143314,1.43157,1.29914,1.87544,1.74460,1.08255,1.56567,1.134140,1.083157,1.302961,1.85171,1.22509,1.200984
4,1.42886,1.115471,1.55547,1.184720,1.31879,1.20007,1.40293,1.60502,1.20768,1.26310,1.207664,1.128264,1.123604,1.73221,1.17332,1.153883
5,1.22533,1.037890,1.37440,1.155527,1.12690,0.97937,1.20502,1.32644,1.58935,1.07923,1.257514,1.204444,1.001954,1.42975,1.04358,1.186838
6,1.12893,1.025497,1.21463,1.211313,1.14800,0.84208,1.04379,1.24257,1.65910,0.87882,1.342023,1.241840,0.990760,1.31108,1.16003,1.109687
7,1.22062,1.095062,1.24264,1.173355,1.16652,0.90239,0.86985,1.11087,1.41000,0.80888,1.296602,1.146123,1.331994,1.27588,1.46647,1.072084
8,1.01104,1.039295,1.07400,1.230040,1.20282,0.85541,0.87125,1.01870,1.32357,0.89678,1.217661,1.076323,1.352485,1.57995,1.55415,1.017001
9,1.22154,1.005217,1.21965,1.234964,0.95727,1.01019,0.76082,1.14301,1.12068,0.84434,1.185744,0.994036,1.194049,1.92763,1.51664,0.957634
10,1.26913,1.053475,1.19776,1.174655,1.06647,0.96070,0.80168,1.03489,1.04966,1.22184,1.167030,1.090169,0.987844,1.87379,1.50522,0.924987
11,1.17895,1.194715,1.12845,1.188199,1.06058,0.88240,0.83052,1.03035,1.31068,1.78905,1.385584,1.366692,1.073429,1.70146,1.35430,0.864446
12,1.04780,1.192912,1.03324,1.137906,0.89955,0.83647,0.95386,0.97199,1.66531,2.23129,1.330308,1.337895,1.279756,1.51164,1.17237,0.849560
13,1.10327,1.162776,1.05386,1.129705,0.87580,0.92315,0.79183,1.13203,1.48198,1.93876,1.285264,1.283298,1.333778,1.49795,1.05350,0.819095
14,1.17068,1.101822,1.01739,1.176570,0.88978,0.91022,1.36879,1.08323,1.36733,1.70180,1.289088,1.312154,1.190555,1.36456,0.95726,0.802321
15,1.18709,1.028290,1.04111,1.075196,1.07172,1.02860,2.12983,1.01897,1.24077,1.19592,1.223414,1.252791,1.042902,1.49521,0.89962,0.815491
16,1.14148,0.977714,0.91560,1.115357,1.12594,1.77123,2.12005,1.08090,1.07248,0.98961,1.131046,1.142714,1.097661,1.65944,0.86151,0.999904
17,2.00623,1.116037,2.09268,1.033038,2.05764,2.14766,2.00135,2.06565,1.20778,1.90966,1.058405,1.084903,1.351918,1.88852,1.15460,1.261493
18,1.72780,1.223131,2.02080,1.037929,1.66239,1.79088,1.47566,2.05246,1.33291,2.02886,1.067087,0.970215,1.419005,1.72278,1.55704,1.184240
19,1.57673,1.219160,1.67586,1.113850,1.44157,1.59218,1.19606,1.81774,1.58342,1.65033,1.152549,0.945583,1.213652,1.60949,1.51914,1.260604
20,1.48171,1.186478,1.59955,1.130958,1.30244,1.24124,0.98209,1.38739,1.49115,1.26585,1.300479,1.073094,0.993541,1.47395,1.58010,1.198165
21,1.26564,1.074306,1.46331,1.181634,1.37563,1.09582,0.98525,1.56778,1.35327,1.07298,1.302930,1.292034,1.008391,1.49444,1.47894,1.192521
22,1.26897,1.016146,1.31173,1.227085,1.27289,0.91290,0.97410,1.07306,1.13831,0.89120,1.334633,1.271450,1.290099,1.42009,1.38745,1.215129
23,1.19576,1.004912,1.19889,1.180615,1.10370,0.99237,0.87383,1.23592,1.09373,0.85101,1.232634,1.280118,1.350984,1.57024,1.25966,1.131732
24,1.11008,1.070206,1.17534,1.227343,0.85353,1.02337,0.80397,1.16403,0.96488,0.79540,1.043576,1.191489,1.232845,1.72100,1.10282,1.086377
25,1.17035,1.163213,1.01990,1.179887,0.93748,0.94389,0.82107,1.09819,1.01724,0.88928,1.156989,1.114131,1.007795,1.80794,1.07291,1.025504
26,1.09673,1.204932,1.08277,1.084293,0.99842,0.84616,0.85559,1.02909,1.52751,0.80767,1.182948,1.057281,1.091475,1.61317,0.94259,0.964078
27,1.14796,1.124567,1.16663,1.124727,1.13569,1.17170,0.87274,1.02460,1.66944,0.93567,1.199436,1.010958,1.203291,1.66191,0.85494,0.912266
28,1.03216,1.086589,1.12258,1.241434,1.21261,1.66767,0.90611,1.20465,1.50861,1.31367,1.317977,1.007657,1.243526,1.45807,0.87565,0.860715
29,1.03302,0.969552,1.00786,1.227853,1.01587,1.86925,0.79479,1.13480,1.39795,1.85238,1.356146,1.130302,1.129801,1.19940,0.97656,0.848768
30,0.99425,1.010162,1.07874,1.208620,0.94758,1.70004,0.78214,1.70605,1.19178,2.17615,1.391229,1.262695,1.124152,1.52631,1.60014,0.827137
31,1.25242,1.210868,1.25984,1.059398,0.99555,1.57455,0.87158,2.12199,1.12408,1.90588,1.378675,1.247302,1.227961,1.75364,1.62116,0.800897
32,1.78449,1.280442,2.21601,1.219347,1.97139,1.39686,2.60165,1.86094,1.18951,1.38510,1.161123,1.176743,1.283486,1.92901,1.51506,0.852293
33,1.60123,1.246582,1.92821,1.096882,1.74312,1.30149,2.22033,1.48553,1.39257,1.10725,1.042916,1.156898,1.192772,1.74838,1.45105,1.069576
34,1.49359,1.086303,1.72413,1.138070,1.47658,1.16361,1.98230,1.38539,1.57691,1.08393,1.022454,1.022464,1.017216,1.56741,1.36013,1.187145
35,1.40208,1.075180,1.61221,1.085095,1.34464,1.00365,1.51581,1.06518,1.43827,0.83332,1.047306,1.006338,1.191549,1.50060,1.24315,1.269885
36,1.21713,0.995505,1.38000,1.163166,1.31723,0.89804,1.35426,1.16436,1.31903,0.78075,1.263811,0.920177,1.297483,1.37079,1.11888,1.220710
37,1.08128,1.167675,1.24632,1.089908,1.10587,0.93001,1.09735,1.01225,1.20948,0.70963,1.348506,1.134371,1.268990,1.61918,0.94218,1.200544
38,1.13771,1.219216,1.24708,1.150033,1.06399,0.94444,0.95796,1.04946,1.04105,0.88240,1.281445,1.286073,1.080205,1.64002,0.89423,1.167106
39,1.18230,1.231940,1.16099,1.162707,0.87424,0.89064,0.80771,0.95098,1.03567,0.74729,1.291404,1.247199,0.983366,1.65639,0.90304,1.167660
40,1.12685,1.190483,1.08090,1.118407,0.99185,0.84083,0.83494,0.97797,1.46235,0.86242,1.137873,1.183996,1.163667,1.73589,1.01080,1.101810
41,1.16038,1.088387,1.06984,1.079738,1.02038,0.82134,0.78670,1.01039,1.59362,0.86659,1.242544,1.112889,1.326300,1.51038,1.41810,1.047872
42,1.13402,1.027595,1.17344,1.083632,0.99999,0.83094,0.86181,1.36348,1.46503,0.81762,1.126602,1.070268,1.257740,1.37956,1.53248,0.951614
43,1.07675,0.934795,0.99096,1.191820,1.03607,0.85039,0.77631,1.88198,1.31017,1.02057,1.084213,0.941407,1.158037,1.32638,1.44180,0.975187
44,1.04030,1.089559,1.09693,1.238120,0.98150,1.18131,0.90024,2.06647,1.17921,1.78554,1.179633,1.024189,1.010695,1.29236,1.46588,0.937519
45,1.15044,1.225756,0.90298,1.175481,1.08615,1.74955,0.75991,1.76468,1.08880,2.31112,1.271449,1.120662,1.122302,1.44845,1.27718,0.850968
46,1.11223,1.304523,1.09270,1.150875,1.12491,1.94817,1.01179,1.37717,1.32401,1.98202,1.239398,1.253751,1.288338,1.69180,1.24424,0.851440
47,1.89558,1.257036,2.17999,1.190482,2.14104,1.71019,2.67849,1.71498,1.60604,1.75437,1.235373,1.316669,1.289210,1.94885,1.03907,0.784304
48,1.63199,1.239556,1.77936,1.049604,1.80728,1.35757,2.29908,1.50037,1.60034,1.22625,1.117704,1.305209,1.226079,1.69355,0.93172,0.755535
49,1.56692,1.098730,1.63855,1.100961,1.60409,1.14699,1.82473,1.20010,1.38300,0.86277,1.046226,1.235401,1.075862,1.75106,0.84934,0.781929
50,1.46754,1.034274,1.57421,1.003719,1.33944,1.06098,1.34812,1.23972,1.21591,0.90424,1.121756,1.171922,1.150026,1.38013,0.81661,1.158632
