X0,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15
1,34.6014,37.0652,56.4493,47.1268,53.2029,36.8587,78.2609,55.7355,44.0797,154.2101,71.5254,110.7138,39.6014,99.6920,88.5254,29.2681
2,31.1413,33.0942,46.4674,49.1268,45.8804,33.6196,67.2862,42.5399,37.5181,153.7391,70.5797,135.3732,39.8623,99.6884,80.2754,24.6993
3,28.3841,31.9746,37.6123,42.8152,41.3514,31.1848,63.3370,35.2899,43.1957,138.8515,72.7355,123.7283,37.6232,90.7210,81.0109,26.9783
4,26.8370,28.5435,34.6775,39.4638,31.4275,29.4855,68.7899,28.7029,46.8949,124.9855,76.8333,107.1413,35.0725,87.4565,77.4022,27.7391
5,24.1957,23.9710,30.5761,32.1196,27.7138,24.0580,84.1196,24.3949,48.2754,116.5652,80.6957,94.5978,29.0109,78.1341,79.3804,26.7971
6,21.1522,22.8623,33.0145,27.7971,24.7609,23.7355,88.9348,20.3768,51.2681,115.7500,82.0399,93.1123,26.8478,87.3913,74.2464,28.6558
7,21.0688,24.3768,33.5688,29.4891,20.3623,20.7754,76.8043,18.9493,49.7428,123.9638,76.4638,126.9565,25.7754,111.0145,71.8913,27.6630
8,18.8225,20.3261,34.1920,28.3261,20.8587,18.6558,72.7391,20.6051,45.6884,117.3841,71.8080,127.5906,31.4674,117.2899,68.2138,29.1558
9,20.7283,24.5797,27.0181,33.2391,18.5688,21.2500,64.4312,19.7572,43.3768,113.5978,66.1268,112.8442,38.4167,114.1775,63.8732,28.7101
10,21.1739,25.6014,30.1993,31.5942,19.4457,19.3913,60.8877,27.3732,44.5399,118.4094,71.7790,93.1667,37.7174,112.7899,61.8043,27.3043
11,19.8623,23.6232,30.7065,29.0000,19.8043,18.9674,72.0761,40.0145,51.8841,133.5471,91.1159,101.4130,34.0580,101.7428,57.9022,28.1957
12,17.5399,21.3043,26.3551,27.3623,23.3152,18.4783,88.4022,51.5543,51.5362,133.4601,90.0109,121.8913,30.9022,87.3297,57.1848,27.0652
13,18.8478,21.9384,24.1051,30.1413,19.0254,21.0399,80.0326,45.1159,49.4167,130.2681,86.4891,125.9638,30.9094,78.8225,55.0000,26.8152
14,18.0399,23.8333,25.1630,29.8623,29.7681,20.4167,75.3043,39.8659,48.6486,123.4746,87.5616,111.7428,27.7790,71.7210,53.6594,28.1630
15,18.3116,23.5507,30.4348,32.8841,45.5688,19.2065,68.9783,28.0797,46.0145,115.3877,83.4275,98.2717,30.1304,67.3188,54.6993,25.4710
16,16.4239,23.1232,32.6051,56.7572,45.5181,20.5399,62.7572,23.0761,43.6993,110.2862,76.5435,104.2210,33.1196,64.5000,66.9891,26.1667
17,34.3297,38.3333,52.2754,69.6087,43.4094,35.7283,68.4493,42.9891,39.7065,126.0471,72.1413,129.3406,38.1413,88.3188,84.6920,23.8152
18,33.4819,33.6522,42.7210,58.0036,33.0145,35.4928,71.7717,45.6123,40.5109,138.1413,65.0181,133.8007,34.3080,116.6558,79.5362,24.4058
19,28.5652,30.8080,37.7029,51.6486,27.4783,32.0797,82.9239,37.8333,45.7899,136.6087,62.6486,113.9565,32.4891,114.3587,84.6304,25.9710
20,27.7246,29.3768,34.8551,40.0435,23.0688,25.2391,80.1087,29.0797,49.5507,133.1377,69.6232,93.6667,29.7246,118.6630,80.5254,26.2935
21,25.6739,25.0036,37.6341,35.9022,22.9710,28.2029,74.4746,23.9275,49.7790,120.3659,85.9710,95.7609,31.0833,111.1630,80.0652,27.5942
22,22.5254,25.3986,35.9674,30.0399,23.0942,20.1630,64.5181,20.7899,49.6341,113.9312,85.0036,123.8877,29.2536,103.8877,81.5580,28.5000
23,21.1667,24.0000,30.3370,32.9384,21.5725,22.6957,64.1449,20.2754,46.7355,113.2210,84.9022,127.0217,31.4167,94.6667,76.0616,27.6232
24,20.2536,22.3587,23.7283,33.6848,19.5072,21.6667,57.4022,18.5109,39.9674,121.0652,79.8442,115.0580,34.0471,82.8478,73.1957,28.7971
25,17.8188,23.3188,25.8514,30.8804,19.8768,20.7572,60.4167,21.1775,44.8949,131.0254,74.7790,94.7717,36.3333,80.1522,68.9420,27.2971
26,18.6304,21.3261,28.9746,27.5543,20.7065,19.4855,81.2971,18.7645,43.7391,134.8768,70.3949,103.3188,32.7609,70.4239,64.7899,25.7826
27,20.5652,22.9746,32.9746,38.3043,21.0652,19.6558,88.1957,21.6775,44.9529,125.6884,67.0978,115.5870,33.2935,64.2065,61.4601,26.7609
28,19.8370,21.5435,34.8913,53.6848,22.3007,22.1486,81.8841,29.3804,50.9674,121.4819,66.8406,117.9746,29.9130,65.7609,57.8877,28.8043
29,17.7971,21.4928,29.2681,59.9964,18.9312,21.0036,76.7681,42.0870,50.8696,108.8297,74.5761,105.9964,24.4674,72.6123,57.2717,29.2536
30,18.0688,20.1775,27.3587,54.9239,19.0870,29.5217,66.7717,50.0036,51.8514,113.8623,84.0181,105.9674,30.6739,120.2754,55.6014,28.7428
31,21.1522,25.4275,29.3841,50.8043,20.6123,36.4203,65.0036,43.9601,50.7101,136.9275,83.3841,116.7681,35.3587,121.5833,53.8913,24.9964
32,36.2826,33.0507,50.3261,45.5072,55.1014,32.6341,66.8370,31.4783,42.8986,144.3696,78.5507,122.7681,38.9928,114.0326,57.1957,28.3007
33,32.2101,31.0978,44.8043,42.4964,47.6341,26.9710,74.7754,25.0543,40.2681,140.8225,77.6703,112.9130,35.0580,109.0725,71.3986,25.5254
34,29.8152,29.2283,38.7246,38.0399,42.7428,24.4493,84.4493,24.8188,38.3986,122.4529,68.8370,96.4457,31.9601,101.9275,79.4855,26.5833
35,27.8877,27.2717,36.5036,32.7500,34.0616,20.0870,78.4275,19.4022,40.7536,120.7101,67.8478,112.5145,30.6957,93.2065,85.0254,25.3949
36,23.8587,24.5543,36.6993,29.3623,30.5399,22.2246,73.4674,18.2319,48.6522,111.3514,61.5217,123.1014,27.8551,84.3333,81.9130,27.4239
37,21.5761,21.6304,31.4565,30.6522,25.2246,18.6884,68.3949,16.7065,50.9638,130.8297,77.5000,119.8370,32.1594,70.8804,80.7464,26.0833
38,22.0652,22.7935,29.0435,31.1920,22.5725,19.8877,61.4638,20.3043,49.6739,137.1377,86.6159,101.2138,33.0145,67.3043,78.2717,27.3551
39,20.2428,23.7138,24.4058,29.0797,19.4312,17.7862,60.0761,17.7210,49.7428,138.6449,84.1920,92.9275,33.6377,67.8152,78.4130,27.4348
40,19.1920,22.6630,28.6087,27.6377,20.1051,18.4674,79.1630,19.9529,43.0072,133.7355,80.2536,111.3696,35.3732,74.0181,73.8116,26.3297
41,18.5543,23.1196,29.5978,26.8986,18.9348,19.0616,85.1920,20.3696,45.3225,122.3370,74.4601,125.2283,30.9022,105.4928,70.3514,25.3949
42,20.6630,22.4710,28.2645,27.0072,20.4783,23.7645,78.9529,18.8804,42.0254,115.7391,71.9058,117.9094,28.2681,115.3043,63.8659,25.7355
43,17.0145,21.7464,29.9130,28.0616,18.7717,32.3587,73.2029,23.0543,41.0399,105.0652,63.1848,108.6087,26.9275,108.4783,65.4239,27.8551
44,18.3732,21.3080,28.2029,38.9312,21.3116,35.6775,67.5399,39.3587,44.4601,121.5109,68.3043,95.2246,26.4674,110.5254,62.9058,29.5725
45,15.2428,23.2609,32.0290,56.5906,18.2029,30.9094,62.3913,52.6123,49.2174,137.6413,72.9312,107.1268,29.4420,96.2428,57.2899,27.5181
46,18.8442,22.7536,32.8478,62.9384,23.6775,24.6993,71.4565,45.7428,46.9746,146.6485,83.4964,122.8768,33.5652,93.9275,57.1630,26.9167
47,35.5072,35.3804,55.3551,54.9239,56.8877,29.9022,84.9928,40.8768,46.7500,141.0688,87.5507,121.1014,39.6993,78.3949,52.5797,27.9203
48,30.0833,31.1884,46.6920,43.7899,49.7210,26.7536,84.9420,28.2065,43.3442,139.1630,88.0761,115.1486,34.1957,70.3043,50.8659,24.7101
49,27.9203,29.5181,41.7283,37.6812,39.7391,22.5145,74.9674,19.8333,40.0072,123.3696,83.6775,102.0543,35.4928,64.1268,52.7029,26.1413
