X0,Y0,Y1,Y2,Y3,Y4
1,44.1011,88.8226,110.0212,57.7500,95.6700
2,42.6504,89.1760,108.3587,63.5000,94.4000
3,41.7952,87.4131,102.7700,62.0000,95.9000
4,41.3615,84.9390,100.7213,53.5000,91.7200
5,40.7914,83.0137,100.9163,45.0000,81.1600
6,40.5242,81.8360,103.3094,55.0000,87.0400
7,40.2849,83.2114,100.7162,53.2500,87.1000
8,40.3084,86.5501,101.2425,41.0000,81.6400
9,40.1031,86.0181,102.9481,46.0000,82.3300
10,40.0679,83.1611,101.9656,37.5000,80.2000
11,40.0430,81.1663,96.9962,39.0000,77.0500
12,40.3012,82.4542,99.7050,38.0000,76.4400
13,40.1524,86.0422,103.5813,34.2500,85.2800
14,40.2646,86.6321,105.5425,41.2500,89.3700
15,40.1647,83.4775,99.5256,39.5000,78.8100
16,40.2051,81.3351,96.1319,27.5000,73.1100
17,43.4044,85.8343,103.4431,40.0000,85.0100
18,42.6661,88.3185,108.7800,68.0000,104.1100
19,41.9285,88.4829,108.1087,65.5000,95.9100
20,41.3267,83.9147,99.3363,55.5000,83.8100
21,40.8983,80.8171,99.1581,33.2500,71.6400
22,40.5470,83.8847,103.9713,46.5000,86.9500
23,40.3097,87.8110,106.2894,57.2500,93.6000
24,39.9351,86.8493,99.4219,43.7500,78.8500
25,39.6392,82.3131,95.8112,45.7500,72.7200
26,39.7008,80.3389,98.6738,33.0000,67.8000
27,39.8670,81.3642,104.2412,48.2500,90.7300
28,40.1437,84.6211,103.0694,36.0000,78.9400
29,40.3220,86.6006,100.2956,33.5000,76.2900
30,40.2705,84.2008,97.3056,33.0000,73.6800
31,40.4642,82.5936,99.4569,45.7500,83.0200
32,42.9990,84.7964,107.9662,60.2500,96.2700
33,42.0181,86.6036,108.2081,71.5000,92.1800
34,41.4969,87.1837,101.9881,55.7500,81.5200
35,41.1567,86.6033,100.5675,52.7500,88.4300
36,40.6432,83.9026,102.6519,52.7500,94.0500
37,40.2334,82.0558,104.6506,38.5000,84.0200
38,40.0961,81.5301,100.5700,42.2500,77.5500
39,40.0282,82.9950,98.3788,37.7500,74.5500
40,39.9632,83.7753,99.4250,48.5000,87.5900
41,39.8890,84.8753,104.5444,56.0000,87.3800
42,39.9769,84.0468,102.5113,33.7500,81.7800
43,40.0116,82.4493,98.7319,35.7500,71.3000
44,40.0406,82.2119,99.6769,35.7500,78.3300
45,39.8422,81.0815,100.8144,44.7500,86.3600
46,39.8840,82.6817,101.6000,42.5000,80.4800
47,42.7467,85.9835,99.8806,42.0000,79.8400
48,41.8623,90.0093,106.6581,76.7500,97.3500
49,41.0078,87.0881,106.8781,70.7500,96.6800
50,40.6022,82.8029,103.8294,50.7500,87.6000
51,40.2444,81.1174,98.1081,49.2500,84.5900
52,40.1472,83.8079,99.7438,48.5000,81.4300
53,39.9388,84.0258,103.0738,46.5000,85.5500
54,39.8138,84.0060,104.6744,48.7500,82.8000
55,39.8361,81.2481,99.3769,44.0000,81.8600
56,39.7557,80.9985,96.3019,31.0000,73.9100
57,39.8213,83.6792,100.1400,59.7500,93.8300
58,39.4972,84.3117,103.0094,48.7500,82.5600
59,39.2766,83.3089,103.0813,37.0000,75.3800
60,39.2099,81.2032,99.2869,36.2500,70.9900
61,39.4918,81.0194,101.9987,26.0000,84.0400
62,39.5583,84.3861,102.0894,47.2500,81.2100
63,42.3730,83.1864,99.0362,40.2500,77.7400
64,41.9787,84.1338,99.7694,58.2500,85.8900
65,41.1242,84.0006,105.8925,61.5000,99.0100
66,40.5803,84.5364,107.4112,78.0000,103.2600
67,40.0200,86.7608,102.0519,52.5000,89.5400
68,39.5338,84.3069,96.9137,42.5000,78.4300
69,39.1185,80.9067,97.0625,36.2500,67.0800
70,38.9181,79.2656,102.1731,27.7500,77.5300
71,39.1429,80.0110,101.2725,53.0000,90.6400
72,39.6576,84.3819,99.9713,43.7500,81.3500
73,39.9567,88.7203,100.4300,36.0000,73.0800
74,39.8580,83.3592,101.7750,25.2500,66.8700
75,39.7101,79.5346,101.6969,37.0000,81.6600
76,39.5318,78.8561,97.3919,48.5000,88.6700
77,39.5324,82.7487,96.3337,44.2500,75.6600
78,40.8881,86.2892,100.6200,36.5000,71.1200
79,42.0561,88.5819,108.0206,45.0000,87.6400
80,40.8311,83.3846,104.7950,79.7500,103.2400
81,40.1164,80.1649,99.2412,68.0000,93.4700
82,39.8072,83.3397,99.3800,63.0000,86.8200
83,39.6295,86.2219,104.9238,39.2500,87.2000
84,39.2882,85.8971,103.1675,50.7500,86.7000
85,39.3462,81.0594,98.3875,38.7500,78.0800
86,39.4301,79.9681,97.3200,44.0000,76.1000
87,39.8495,80.9743,101.8962,41.5000,85.1600
88,39.8430,83.0899,103.1569,48.2500,86.2500
89,39.7015,84.1110,100.2731,38.7500,75.2200
90,39.5233,81.6651,97.1794,36.5000,71.8300
91,39.2948,80.8715,99.7688,35.2500,78.2900
92,39.2344,81.6046,103.4987,59.5000,91.5900
93,39.3124,82.6547,102.0775,42.2500,84.6800
94,42.4416,86.1797,101.2094,57.0000,80.6700
95,41.4554,86.2693,100.2487,46.2500,81.9500
96,40.7833,83.5381,102.3031,73.0000,98.5700
97,40.5954,83.6393,105.2462,62.2500,95.3000
98,40.1109,83.4492,103.0894,39.0000,79.2700
99,39.5106,83.8101,102.4069,28.7500,74.7100
100,39.0757,81.3561,99.2325,48.2500,87.2300
101,38.9629,80.3575,99.8275,46.5000,84.7800
102,39.1142,81.9428,99.0563,36.2500,77.1400
103,39.2593,84.7449,102.3875,27.0000,71.6100
104,39.3644,84.5900,103.4613,44.0000,81.7600
105,39.2055,82.9675,101.4262,52.0000,90.5100
